Date,Training,Exercise,Weight,Repetitions,Score
05/01/2024,Biceps,Jordibells,10.0,16,14.8
05/01/2024,Biceps,Jordibells,15.0,8,17.4
05/01/2024,Biceps,Jordibells,15.0,9,17.7
05/01/2024,Biceps,Jordibells,15.0,9,17.7
05/01/2024,Biceps,Huevos de Thanos,12.5,16,17.3
05/01/2024,Biceps,Huevos de Thanos,17.5,16,22.3
05/01/2024,Biceps,Huevos de Thanos,22.5,16,27.3
05/01/2024,Biceps,Huevos de Thanos,32.5,10,35.5
06/01/2024,Quadriceps,Prensa Horizontal,90.0,16,94.8
06/01/2024,Quadriceps,Prensa Horizontal,190.0,16,194.8
06/01/2024,Quadriceps,Prensa Horizontal,250.0,3,250.9
06/01/2024,Isquios,Leg Curl,85.0,16,89.8
06/01/2024,Isquios,Leg Curl,100.0,16,104.8
06/01/2024,Isquios,Leg Curl,115.0,16,119.8
06/01/2024,Isquios,Leg Curl,130.0,6,131.8
06/01/2024,Gluteos,Adductor,175.0,16,179.8
06/01/2024,Gluteos,Adductor,190.0,16,194.8
06/01/2024,Gluteos,Adductor,205.0,12,208.6
06/01/2024,Gluteos,Adductor,220.0,8,222.4
06/01/2024,Gluteos,Abductor,130.0,16,134.8
06/01/2024,Gluteos,Abductor,145.0,12,148.6
06/01/2024,Gluteos,Abductor,160.0,10,163.0
06/01/2024,Gluteos,Abductor,175.0,9,177.7
08/01/2024,Pecho,Inclined,0.0,16,4.8
08/01/2024,Pecho,Inclined,4.5,16,9.3
08/01/2024,Pecho,Inclined,11.3,3,12.2
08/01/2024,Pecho,Inclined,11.3,4,12.5
08/01/2024,Triceps,Cuerda Individual,7.5,16,12.3
08/01/2024,Triceps,Cuerda Individual,12.5,5,14.0
08/01/2024,Triceps,Cuerda Individual,12.5,6,14.3
08/01/2024,Triceps,Cuerda Individual,12.5,4,13.7
08/01/2024,Pecho,Press Banca,0.0,16,4.8
08/01/2024,Pecho,Press Banca,4.5,16,9.3
08/01/2024,Pecho,Press Banca,11.4,6,13.2
08/01/2024,Pecho,Press Banca,11.4,4,12.6
08/01/2024,Triceps,Barrita,22.5,16,27.3
08/01/2024,Triceps,Barrita,32.5,16,37.3
08/01/2024,Triceps,Barrita,37.5,7,39.6
09/01/2024,Biceps,Huevos de Thanos,17.5,16,22.3
09/01/2024,Biceps,Huevos de Thanos,22.5,16,27.3
09/01/2024,Biceps,Huevos de Thanos,27.5,16,32.3
09/01/2024,Biceps,Huevos de Thanos,32.5,10,35.5
09/01/2024,Espalda,Remo,55.0,16,59.8
09/01/2024,Espalda,Remo,70.0,16,74.8
09/01/2024,Espalda,Remo,85.0,10,88.0
09/01/2024,Espalda,Remo,100.0,7,102.1
09/01/2024,Biceps,Jordibells,10.0,16,14.8
09/01/2024,Biceps,Jordibells,15.0,9,17.7
09/01/2024,Biceps,Jordibells,15.0,9,17.7
09/01/2024,Biceps,Jordibells,15.0,7,17.1
09/01/2024,Espalda,Cuerda Individual,17.5,16,22.3
09/01/2024,Espalda,Cuerda Individual,22.5,16,27.3
09/01/2024,Espalda,Cuerda Individual,27.5,16,32.3
09/01/2024,Espalda,Cuerda Individual,32.5,10,35.5
10/01/2024,Quadriceps,Prensa Horizontal,110.0,16,114.8
10/01/2024,Quadriceps,Prensa Horizontal,190.0,16,194.8
10/01/2024,Quadriceps,Prensa Horizontal,210.0,10,213.0
10/01/2024,Quadriceps,Prensa Horizontal,230.0,6,231.8
10/01/2024,Quadriceps,Prensa Horizontal,250.0,4,251.2
10/01/2024,Gluteos,Adductor,175.0,16,179.8
10/01/2024,Gluteos,Adductor,190.0,16,194.8
10/01/2024,Gluteos,Adductor,205.0,16,209.8
10/01/2024,Gluteos,Adductor,220.0,14,224.2
10/01/2024,Isquios,Leg Curl,85.0,16,89.8
10/01/2024,Isquios,Leg Curl,100.0,16,104.8
10/01/2024,Isquios,Leg Curl,115.0,16,119.8
10/01/2024,Isquios,Leg Curl,130.0,11,133.3
10/01/2024,Gluteos,Abductor,130.0,16,134.8
10/01/2024,Gluteos,Abductor,145.0,16,149.8
10/01/2024,Gluteos,Abductor,160.0,10,163.0
10/01/2024,Gluteos,Abductor,175.0,10,178.0
11/01/2024,Triceps,Cuerda Individual,7.5,16,12.3
11/01/2024,Triceps,Cuerda Individual,12.5,13,16.4
11/01/2024,Triceps,Cuerda Individual,17.5,3,18.4
11/01/2024,Triceps,Cuerda Individual,17.5,3,18.4
11/01/2024,Pecho,Maquina,55.0,16,59.8
11/01/2024,Pecho,Maquina,85.0,16,89.8
11/01/2024,Pecho,Maquina,100.0,11,103.3
11/01/2024,Pecho,Maquina,115.0,7,117.1
11/01/2024,Triceps,Overhead Individual,10.0,16,14.8
11/01/2024,Triceps,Overhead Individual,10.0,16,14.8
11/01/2024,Triceps,Overhead Individual,15.0,12,18.6
11/01/2024,Triceps,Overhead Individual,15.0,7,17.1
11/01/2024,Pecho,Press Banca,0.0,16,4.8
11/01/2024,Pecho,Press Banca,4.5,16,9.3
11/01/2024,Pecho,Press Banca,11.3,13,15.2
11/01/2024,Pecho,Press Banca,15.8,5,17.3
11/01/2024,Pecho,Press Banca,15.8,3,16.7
11/01/2024,Triceps,Huevos de Thanos,7.5,16,12.3
11/01/2024,Triceps,Huevos de Thanos,12.5,16,17.3
11/01/2024,Triceps,Huevos de Thanos,17.5,11,20.8
11/01/2024,Triceps,Huevos de Thanos,17.5,7,19.6
12/01/2024,Espalda,Lat Pulldown,57.5,16,62.3
12/01/2024,Espalda,Lat Pulldown,62.5,16,67.3
12/01/2024,Espalda,Lat Pulldown,72.5,16,77.3
12/01/2024,Espalda,Lat Pulldown,77.5,16,82.3
12/01/2024,Biceps,Jordibells,10.0,16,14.8
12/01/2024,Biceps,Jordibells,15.0,10,18.0
12/01/2024,Biceps,Jordibells,15.0,12,18.6
12/01/2024,Biceps,Jordibells,20.0,5,21.5
12/01/2024,Espalda,Remo,70.0,16,74.8
12/01/2024,Espalda,Remo,85.0,13,88.9
12/01/2024,Espalda,Remo,100.0,8,102.4
12/01/2024,Espalda,Remo,115.0,4,116.2
12/01/2024,Biceps,Huevos de Thanos,17.5,16,22.3
12/01/2024,Biceps,Huevos de Thanos,22.5,10,25.5
12/01/2024,Biceps,Huevos de Thanos,27.5,5,29.0
12/01/2024,Biceps,Huevos de Thanos,32.5,4,33.7
13/01/2024,Quadriceps,Prensa Horizontal,130.0,16,134.8
13/01/2024,Quadriceps,Prensa Horizontal,190.0,16,194.8
13/01/2024,Quadriceps,Prensa Horizontal,210.0,6,211.8
13/01/2024,Quadriceps,Prensa Horizontal,230.0,0,230.0
13/01/2024,Gluteos,Abductor,130.0,16,134.8
13/01/2024,Gluteos,Abductor,145.0,16,149.8
13/01/2024,Gluteos,Abductor,160.0,16,164.8
13/01/2024,Gluteos,Abductor,175.0,10,178.0
13/01/2024,Gluteos,Abductor,190.0,10,193.0
15/01/2024,Pecho,Press Banca,0.0,16,4.8
15/01/2024,Pecho,Press Banca,4.5,16,9.3
15/01/2024,Pecho,Press Banca,11.3,16,16.1
15/01/2024,Pecho,Press Banca,15.8,7,17.9
15/01/2024,Pecho,Press Banca,18.1,2,18.7
15/01/2024,Triceps,Huevos de Thanos,7.5,16,12.3
15/01/2024,Triceps,Huevos de Thanos,12.5,16,17.3
15/01/2024,Triceps,Huevos de Thanos,17.5,16,22.3
15/01/2024,Triceps,Huevos de Thanos,22.5,16,27.3
15/01/2024,Triceps,Huevos de Thanos,27.5,7,29.6
15/01/2024,Pecho,Inclined,0.0,16,4.8
15/01/2024,Pecho,Inclined,4.5,16,9.3
15/01/2024,Pecho,Inclined,11.3,8,13.7
15/01/2024,Pecho,Inclined,11.3,7,13.4
15/01/2024,Triceps,Overhead Individual,10.0,16,14.8
15/01/2024,Triceps,Overhead Individual,10.0,16,14.8
15/01/2024,Triceps,Overhead Individual,15.0,7,17.1
15/01/2024,Triceps,Overhead Individual,15.0,5,16.5
15/01/2024,Pecho,Poleas,12.5,12,16.1
15/01/2024,Pecho,Poleas,17.5,5,19.0
15/01/2024,Pecho,Poleas,12.5,7,14.6
15/01/2024,Pecho,Poleas,12.5,6,14.3
15/01/2024,Triceps,Cuerda Individual,7.5,16,12.3
15/01/2024,Triceps,Cuerda Individual,12.5,4,13.7
15/01/2024,Triceps,Cuerda Individual,12.5,3,13.4
16/01/2024,Biceps,Jordibells,10.0,16,14.8
16/01/2024,Biceps,Jordibells,15.0,16,19.8
16/01/2024,Biceps,Jordibells,20.0,10,23.0
16/01/2024,Biceps,Jordibells,20.0,8,22.4
16/01/2024,Espalda,Lat Pulldown,67.5,16,72.3
16/01/2024,Espalda,Lat Pulldown,72.5,16,77.3
16/01/2024,Espalda,Lat Pulldown,77.5,16,82.3
16/01/2024,Espalda,Lat Pulldown,82.5,13,86.4
16/01/2024,Biceps,Barrita,22.5,16,27.3
16/01/2024,Biceps,Barrita,27.5,16,32.3
16/01/2024,Biceps,Barrita,32.5,9,35.2
16/01/2024,Biceps,Barrita,42.5,3,43.4
16/01/2024,Espalda,Cuerda Individual,17.5,16,22.3
16/01/2024,Espalda,Cuerda Individual,22.5,16,27.3
16/01/2024,Espalda,Cuerda Individual,27.5,16,32.3
17/01/2024,Quadriceps,Prensa Horizontal,130.0,16,134.8
17/01/2024,Quadriceps,Prensa Horizontal,190.0,16,194.8
17/01/2024,Quadriceps,Prensa Horizontal,210.0,7,212.1
17/01/2024,Quadriceps,Prensa Horizontal,230.0,0,230.0
17/01/2024,Isquios,Leg Curl,85.0,16,89.8
17/01/2024,Isquios,Leg Curl,100.0,16,104.8
18/01/2024,Pecho,Press Banca,0.0,16,4.8
18/01/2024,Pecho,Press Banca,4.5,16,9.3
18/01/2024,Pecho,Press Banca,11.3,16,16.1
18/01/2024,Pecho,Press Banca,15.8,8,18.2
18/01/2024,Pecho,Press Banca,18.1,4,19.3
18/01/2024,Triceps,Cuerda Individual,7.5,16,12.3
18/01/2024,Triceps,Cuerda Individual,12.5,16,17.3
18/01/2024,Triceps,Cuerda Individual,17.5,5,19.0
18/01/2024,Triceps,Cuerda Individual,17.5,2,18.1
18/01/2024,Pecho,Inclined,0.0,16,4.8
18/01/2024,Pecho,Inclined,4.5,16,9.3
18/01/2024,Pecho,Inclined,11.3,9,14.0
18/01/2024,Pecho,Inclined,15.8,4,17.0
18/01/2024,Triceps,Huevos de Thanos,12.5,16,17.3
18/01/2024,Triceps,Huevos de Thanos,17.5,16,22.3
18/01/2024,Triceps,Huevos de Thanos,22.5,10,25.5
18/01/2024,Triceps,Huevos de Thanos,27.5,8,29.9
